JCT10109	UV_AfeReg53_Test pattern			3	4	8			N	R		F	N	2		10		
JCT10110	UV_AfeReg54_Test pattern			3	4	8			N	R		F	N	2		10		
JCT10111	UV_AfeReg55_Test pattern			3	4	8			N	R		F	N	2		10		
JCT10112	UV_AfeReg56_Test pattern			3	4	8			N	R		F	N	2		10		
JCT10113	UV_AfeReg57_Test pattern			3	4	8			N	R		F	N	2		10		
JCT10114	UV_AfeReg58_Reserved			3	4	8			N	R		F	N	2		10		
JCT10115	UV_AfeReg59_Reserved			3	4	8			N	R		F	N	2		10		
JCT10116	UV_AfeReg60_Digital conf			3	4	8			N	R		F	N	2		10		
JCT10117	UV_AfeReg61_Test & scan			3	4	8			N	R		F	N	2		10		
JCT10118	UV_AfeReg62_Device ID			3	4	8			N	R		F	N	2		10		
JCT10119	UV_AfeReg63_Reserved			3	4	8			N	R		F	N	2		10		
JCT10120	UV_TempCfg			3	4	8			N	R		F	N	2		10		
JCT10121	UV_DetMode			2	1	1			S	R	JCKT0007	F	N	2		10		
JCT10122	UV_DetEnable			2	1	1			S	R	JCKT0008	F	N	2		10		
JCT10123	UV_DetOpenLoopSetPoint		%	3	12	16			N	R	JCKP0001	F	N	2		10		
JCT10124	UV_DetClosedLoopSetPoint			3	12	16			N	R		F	N	2		10		
JCT10125	UV_DetKp			3	12	16			N	R		F	N	2		10		
JCT10126	UV_DetKi			3	12	16			N	R		F	N	2		10		
JCT10127	UV_DetDutyCycleSoftLimit		%	3	12	16			N	R	JCKP0001	F	N	2		10		
JCT11000	VIS_ConfigId			3	4	8			N	R		F	N	2		11		
JCT11001	VIS_PuSeq			2	1	1			S	R	JCKT0001	F	N	2		11		
JCT11002	VIS_TestMode			2	1	1			S	R	JCKT0002	F	N	2		11		
JCT11003	VIS_RdSt			2	1	1			S	R	JCKT0003	F	N	2		11		
JCT11004	VIS_ClkDrvAll			2	1	1			S	R	JCKT0004	F	N	2		11		
JCT11005	VIS_ClkDrvAb			2	1	1			S	R	JCKT0004	F	N	2		11		
JCT11006	VIS_DumpPostfixCD			2	1	1			S	R	JCKT0005	F	N	2		11		
JCT11007	VIS_DumpPostfixAB			2	1	1			S	R	JCKT0005	F	N	2		11		
JCT11008	VIS_DumpGate			2	1	1			S	R	JCKT0006	F	N	2		11		
JCT11009	VIS_ImgClk1Rise			3	4	8			N	R		F	N	2		11		
JCT11010	VIS_ImgClk1Fall			3	4	8			N	R		F	N	2		11		
JCT11011	VIS_ImgClk2Rise			3	4	8			N	R		F	N	2		11		
JCT11012	VIS_ImgClk2Fall			3	4	8			N	R		F	N	2		11		
JCT11013	VIS_StrgClk1Rise			3	4	8			N	R		F	N	2		11		
JCT11014	VIS_StrgClk1Fall			3	4	8			N	R		F	N	2		11		
JCT11015	VIS_StrgClk2Rise			3	4	8			N	R		F	N	2		11		
JCT11016	VIS_StrgClk2Fall			3	4	8			N	R		F	N	2		11		
JCT11017	VIS_RiseR1A/2B			3	4	8			N	R		F	N	2		11		
JCT11018	VIS_FallR1A/2B			3	4	8			N	R		F	N	2		11		
JCT11019	VIS_RiseR2A/1B			3	4	8			N	R		F	N	2		11		
JCT11020	VIS_FallR2A/1B			3	4	8			N	R		F	N	2		11		
JCT11021	VIS_RiseR3AB			3	4	8			N	R		F	N	2		11		
JCT11022	VIS_FallR3AB			3	4	8			N	R		F	N	2		11		
JCT11023	VIS_RiseRA/B			3	4	8			N	R		F	N	2		11		
JCT11024	VIS_FallRA/B			3	4	8			N	R		F	N	2		11		
